Angles	Fields	Field before	Fields after	Frequency	Magnitude	Phase	Real	Imaginary
-2.80000000E+1	-1.80000000E-2	-1.59178389E-2	-1.59016139E-2	2.43025920E+9	-8.43547049E+1	-2.79359866E+0	-5.69402955E-5	-2.06554828E-5
-2.80000000E+1	-1.75000000E-2	-1.54279136E-2	-1.54109308E-2	2.43025920E+9	-8.43283939E+1	-2.79155520E+0	-5.70705827E-5	-2.08348114E-5
-2.80000000E+1	-1.70000000E-2	-1.49332669E-2	-1.49166430E-2	2.43025920E+9	-8.43392580E+1	-2.79175930E+0	-5.70034907E-5	-2.07971342E-5
-2.80000000E+1	-1.65000000E-2	-1.44417884E-2	-1.44237151E-2	2.43025920E+9	-8.43488538E+1	-2.79210756E+0	-5.69477821E-5	-2.07543393E-5
-2.80000000E+1	-1.60000000E-2	-1.39530443E-2	-1.39330974E-2	2.43025920E+9	-8.44099547E+1	-2.79267949E+0	-5.65603659E-5	-2.05765101E-5
-2.80000000E+1	-1.55000000E-2	-1.34495868E-2	-1.34365635E-2	2.43025920E+9	-8.43470639E+1	-2.79288551E+0	-5.69756504E-5	-2.07142989E-5
-2.80000000E+1	-1.50000000E-2	-1.29644116E-2	-1.29475227E-2	2.43025920E+9	-8.43471906E+1	-2.79835844E+0	-5.70873315E-5	-2.04018687E-5
-2.80000000E+1	-1.45000000E-2	-1.24691261E-2	-1.24494627E-2	2.43025920E+9	-8.43058560E+1	-2.81092562E+0	-5.76127282E-5	-1.97767405E-5
-2.80000000E+1	-1.40000000E-2	-1.19714443E-2	-1.19572952E-2	2.43025920E+9	-8.45716940E+1	-2.82644016E+0	-5.61670008E-5	-1.83114611E-5
-2.80000000E+1	-1.35000000E-2	-1.14892047E-2	-1.14640109E-2	2.43025920E+9	-8.48257141E+1	-2.80692144E+0	-5.41906918E-5	-1.88449499E-5
